Country,Adult_Literacy_Rate,Tertiary_Education_Enrollment
New Zealand,0.1171022590430239,0.20248088523651053
Nicaragua,0.29226404124418204,0.012577042911617068
Niger,0.4116189253675741,0.1401538061183999
Nigeria,0.06847863296202365,0.055181900442607595
North Macedonia,0.33876957107777406,0.09940790646480682
Norway,0.12849653995743562,0.41044210903768075
Oman,0.10284893332310446,0.07823625345820866
Pakistan,0.5850335838903493,0.029741653454126927
Palau,0.012006461665774635,0.8078361994627581
Panama,0.04817866715031653,0.015638074839192963
Papua New Guinea,0.001415267719022166,0.6260606251644425
Paraguay,0.009210185132166095,0.16412542778760678
Peru,0.035561149811125126,0.07839766329800393
Philippines,0.2370393662298306,1.0
Poland,0.25001216979050866,0.15465265898764397
Portugal,0.13504117220739534,0.10441748679676781
Qatar,0.0686699861851874,0.04345305249611862
Republic of the Congo,0.08759756818655576,0.06763623981263629
Romania,0.4162360198957172,0.198111146314302
Russia,0.11252881389087528,0.15208131764702779
Rwanda,0.04883390985577462,0.07478719424502232
Saint Kitts and Nevis,0.010781693509494424,0.5408527205444207
Saint Lucia,0.012722037730953503,0.14586655641152182
Saint Vincent and the Grenadines,0.02771345875948555,0.07712704527711238
Samoa,0.10834539647326863,0.08974997187799061
Sao Tome and Principe,0.02976634622136184,0.4575551818709236
Saudi Arabia,0.05566136969432234,0.00923176401526606
Senegal,0.13955036399836035,0.025082694813608544
Serbia,0.4244945886482842,0.07105884244621373
Seychelles,0.008130683057954103,0.0006003047388554719
Sierra Leone,0.005180209077833858,0.011505749452384141
Singapore,0.13147033837525135,0.8774647260949537
Slovakia,0.2616804266307032,0.15084234672618807
Slovenia,0.13453398088739935,0.12822321639145734
Solomon Islands,0.04305743227932579,0.021245189992242265
South Africa,0.15099564892322806,0.08918323104766876
Spain,0.1801581300659265,0.1494661640491845
Sri Lanka,0.27331226282018967,0.022151990178466557
Sudan,0.0,0.034424426050686616
Suriname,0.1795085869475166,0.050216527650654645
Sweden,0.3456088059521807,0.27544759494575505
Switzerland,0.1806351454907436,0.4575824945707985
Syria,0.030130342548655636,0.021615691292037244
Tajikistan,0.04424795632194226,0.02543263932377071
Tanzania,0.013636077116982778,0.07921654582158857
Thailand,0.012306620219276027,0.44243034064988235
Timor-Leste,0.030117992428987578,0.1645314171433755
Togo,0.11121456816760694,0.008965366794463595
Tonga,0.21224070778576787,0.04214744262807389
Trinidad and Tobago,0.08705845179080876,0.03068427904470996
Tunisia,0.07438025239822894,0.12037131516355906
Turkmenistan,0.16785299885986152,0.1645314171433755
Uganda,0.04220329042697838,0.022009274591279316
Ukraine,0.6709989211730064,0.1045379561973714
United Arab Emirates,0.16785299885986152,0.1503433745532462
United Kingdom,0.15281435451002182,0.4515887761483088
United States of America,0.11053963799613176,0.38017771539844597
Uruguay,0.29712674949837314,0.16735819771321558
Uzbekistan,0.13057864591040058,0.044115068272086
Vanuatu,0.1322203153909523,0.1645314171433755
Venezuela,0.0797576794277812,0.1645314171433755
Viet Nam,0.16785299885986152,0.6672485284005197
Yemen,0.4100679644999351,0.07548359625030439
Zambia,0.04249612896500285,0.018186988995848575
Zimbabwe,0.06176406731510128,0.03035716091362186
