"Data Source","World Development Indicators",

"Last Updated Date","2025-04-15",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Congo, Rep.","COG","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24.29","11.29","20.67","23.01","17.35","15.8","23.93","34.59","41.04","45.62","46.19","46.38","48.67","40.4","41.36","46.01","54.44","51.36","70.56","78.11","76.62","66.74","62.22","76.77","75.72","88.68","90.39","","",
"Colombia","COL","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","362.45","406.22","394.84","463.17","535.48","533.64","680.85","713.03","858.09","988.47","1449.56","1562.09","2357.93","2705.91","3169.79","3541.93","4076.94","4525.2","4993.33","5383.5","6417.19","6701.16","7531.98","8752.82","9599.78","10300.11","9683.4","","",
"Comoros","COM","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.9","1.29","0.13","1.25","0.98","0.2","0.2","0.33","1.17","2.4","1.17","3.59","0.74","0.76","2.15","3.95","1.2","8.93","1.51","1.74","4.84","3.89","3.07","3.79","3.51","4.82","3.74","","",
"Cabo Verde","CPV","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.53","0.5","0.2","1.48","0.25","0.67","0.17","1.39","0.75","0.37","4.14","3.67","2.47","5.04","3.05","2.7","3.88","7.6","8.77","11.85","8.78","14.24","8.94","13.9","20.9","23.6","22.01","","",
"Costa Rica","CRI","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","158.45","166.95","157.79","127.05","121.83","169.1","162.07","154.49","219.26","219.47","226.8","232.82","246.75","250.87","272.47","266.45","311.7","275.45","365.39","363.09","425.5","483.69","542.38","631.94","702.29","753.03","711.36","","",
"Caribbean small states","CSS","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","38.5492704514454","50.1331403577567","52.8146347381775","54.780912172385","50.9646425285736","74.9379667395452","65.2351439965342","79.6522520650537","87.15843009373","92.380732723313","98.80356469303","119.912872257053","112.248963557994","103.21","111.54","104.2","141.99","166.75","170.12","169","190.61","223.4","206.66","232.47","259.6","270.29","266.94","","",
"Cuba","CUB","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","576.43","698.71","888.57","949.4","956.5","1003.81","953.97","793.22","789.67","967.02","1224.99","1096.51","1163.54","1419.43","1293.77","1520.7","1526.64","1570.27","1471.66","1342.36","1158.34","1134.65","1167.92","1115.94","1366.16","1532.31","1237.5","","",
"Curacao","CUW","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cayman Islands","CYM","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cyprus","CYP","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","94.99","118.96","111.63","118.22","158.13","134.94","196.94","178.13","256.78","318.12","353.72","433.39","508.23","654.5","712","759.41","798.85","964.53","914.61","937.96","1071.31","1223.71","1296.14","1351.09","1466.69","1733.92","1866.52","","",
"Czechia","CZE","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4361.86","4616.99","4599.59","4929.16","5330.3","5742.18","6038.75","6396.07","6989.49","7858.01","8785.97","10022.53","10752.64","11107.58","12461.34","13384.8","13617.94","13764.71","15039.45","16488.26","16418.09","16387.57","15899.72","16546.99","15501.35","15882.75","14425.23","","",
"Germany","DEU","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","64230.05","68275.18","69447.96","67533.92","69738.56","71531.01","71994.35","74319.9","77210.07","85127.72","87144.84","90199.02","93343.56","96399.98","98512.11","101238.25","105639.02","106118.13","108118.23","108479.28","110725.54","111426.61","111308.13","113491.66","112179.45","119603.62","113976.3","","",
"Djibouti","DJI","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.11","5","1.93","0.17","2","0.64","1.28","1.33","1.88","3.71","2.71","3.28","3.32","8.12","6.87","4.24","7.42","6.45","7.51","5.71","4.19","5.24","6.54","4.88","10.48","8.2","13.16","","",
"Dominica","DMA","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.65","0.64","3.81","0","0","4.26","2","4.58","2.16","5.27","4.19","3.94","5.22","4.22","8.78","6.94","11.84","12.08","9.21","10.28","10.8","12","11.83","5.15","5.46","6.91","5.17","","",
"Denmark","DNK","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6360.3","7107.29","6822.62","6717.74","7180.91","7158.33","7190.23","7565.75","7939.76","8466.21","8685.4","9044.64","9294.1","9790.04","10314.12","11432.71","12398.11","12912.29","14140.3","14343.41","14395.75","14654.73","14802.91","15073.24","15427.2","16242.39","16126.02","","",
"Dominican Republic","DOM","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21.24","12.84","9.98","10.66","13.3","8.14","8.46","11.53","13.74","13.88","18.1","21.12","16.52","15.46","17.26","19.39","25.65","40.72","42.42","34.66","36.46","48.5","54.97","71.11","90.86","112.22","109.82","","",
"Algeria","DZA","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","224.92","258.62","300.8","311","381.8","447.43","488.66","635.4","856.74","896.8","1273.35","1396.35","1748.91","2115.44","2093.41","2405.01","2998.95","3397.03","3618.61","4070.79","4447.92","5141.7","5291.25","6230.58","5709.84","6839","7606.65","","",
"East Asia & Pacific (excluding high income)","EAP","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","36169.4744076369","40284.4387947809","46845.5040406627","48482.9427679891","57407.2583400872","74706.7531429417","80014.8478392013","93996.8360497877","128095.290394964","173794.486211808","202492.088703617","224221.420819485","261974.843461524","302661.672524774","330568.556236402","348635.399044937","355804.54","384404.68","416806.04","442047.73","477116.99","518822.52","594293.53","694424.96","754573.6","863913.98","991725.68","","",
"Early-demographic dividend","EAR","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","53177.3754229868","55865.1562407754","57062.3295889678","59988.0477714648","62913.6759537102","67381.1884482177","74370.1900158969","82414.911457461","90751.0397895865","101922.533745332","116765.28613831","128247.002027626","142573.411514025","159975.69591913","177061.63354478","200340.291817911","214999.4","227491.97","246659.81","262238.67","289058.62","311591.64","349873.93","391092.69","429598.48","502414.28","541101.88","","",
